"Betriebsname","Strasse","Nr.","Kreis","PLZ","Ort","Oeffnungszeit","Betriebsart","Status","X","Y"
"Salon","Weststrasse",20,3,8003,"Zürich","0400/Frei","Gastwirtschaft","Offen",681986.919,247062.342
"Salsa Rica","Pfingstweidstrasse",101,5,8005,"Zürich","0400/Frei","Gastwirtschaft","Offen",680696.75,249375.796
"Samses","Langstrasse ",231,5,8005,"Zürich","0400/frei","Gastwirtschaft","Offen",682464.232,248689.968
"San Miguel","Ankerstrasse",123,4,8004,"Zürich","0400/frei","Gastwirtschaft","Offen",682302.905,247892.164
"Santa Lucia Corso","Theaterstrasse",10,1,8001,"Zürich","0400/Frei","Gastwirtschaft","Offen",683699.693,246761.458
"Sarina Bar","Kanonengasse",9,4,8004,"Zürich","0400/frei","Cabaret / Nachtclub","Offen",682350.698,247957.005
"Schlachthof","Herdernstrasse",59,4,8004,"Zürich","0400/Frei","Gastwirtschaft","Offen",680611.272,248630.875
"Schweizerdegen","Dienerstrasse",40,4,8004,"Zürich","0400/frei","Gastwirtschaft","Offen",682207.645,248086.91
"Schützengasse","Schützengasse",32,1,8001,"Zürich","0400/Frei","Gastwirtschaft","Offen",682991.236,247944.98
"Seemäx","Kalkbreitestrasse",33,3,8003,"Zürich","0400/frei","Gastwirtschaft","Offen",681644.558,247515.077
"Sheraton Zürich Hotel","Pfingstweidstrasse",100,5,8005,"Zürich","0400/Frei","Gastwirtschaft","Offen",680913.884,249420.585
"Shisha Club Zürich","Hardstrasse ",236,5,8005,"Zürich","0400/Frei","Gastwirtschaft","Offen",681621.146,249066.053
"Sonne","Hohlstrasse",32,4,8004,"Zürich","0400/frei","Gastwirtschaft","Offen",682193.625,247955.543
"Sous-Sol","Grubenstrasse ",11,3,8045,"Zürich","0400/Frei","Gastwirtschaft","Offen",681409.913,246204.152
"Stairs Club","Baslerstrasse",50,9,8048,"Zürich","0400/frei","Dancing / Disco","Offen",680016.511,248918.359
"Stall 6","Gessnerallee ",8,1,8001,"Zürich","0400/Frei","Gastwirtschaft","Offen",682772.867,247681.67
"Star Take Away","Mattengasse",29,5,8005,"Zürich","0400/frei","Gastwirtschaft","Offen",682466.702,248580.357
"Station Club","Gutenbergstrasse",1,2,8002,"Zürich","0400/Frei","Gastwirtschaft","Offen",682495.137,246592.963
"Stazione Paradiso","Wasserwerkstrasse","89a",6,8037,"Zürich","0400/frei","Gastwirtschaft","Offen",682701.829,249018.261
"Steinfels","Heinrichstrasse",267,5,8005,"Zürich","0400/Frei","Gastwirtschaft","Offen",681782.644,249246.521
"Stella Alpina","Dienerstrasse ",56,4,8004,"Zürich","0400/frei","Gastwirtschaft","Offen",682152.716,248126.282
"Strauss","Langstrasse",132,4,8004,"Zürich","0400/frei","Gastwirtschaft","Offen",682257.514,248222.053
"Stray Cat ","Neufrankengasse",4,4,8004,"Zürich","0400/Frei","Gastwirtschaft","Offen",682244.327,248309.696
"StuZ","Universitätstrasse ",6,6,8006,"Zürich","0400/frei","Dancing / Disco","Offen",683832.06,248094.016
"Suan Long","Tessinerplatz",12,2,8002,"Zürich","0400/frei","Gastwirtschaft","Offen",682522.851,246470.202
"Supermarket","Geroldstrasse",17,5,8005,"Zürich","0400/frei","Dancing / Disco","Offen",681625.059,248869.957
"TERZO","Seefeldstrasse",214,8,8008,"Zürich","0400/Frei","Gastwirtschaft","Offen",684633.774,245286.527
"Tabak Sedal Cakir","Ankerstrasse",119,4,8004,"Zürich","0400/Frei","Nebenwirtschaft","Offen",682284.659,247874.111
"Talacker 41","Talacker",41,1,8001,"Zürich","0400/frei","Gastwirtschaft","Offen",682792.964,247369.537
"Tantuni","Badenerstrasse ",250,4,8004,"Zürich","0400/Frei","Gastwirtschaft","Offen",681363.854,247794.345
"Tanzwerk 101","Pfingstweidstrasse",103,5,8005,"Zürich","0400/Frei","Gastwirtschaft","Offen",680696.75,249375.796
"Tao's (EG)","Augustinergasse",3,1,8001,"Zürich","0400/frei","Gastwirtschaft","Offen",683189.066,247322.573
"Taverna Apollo","Schöneichstrasse",7,12,8051,"Zürich","0400/frei","Gastwirtschaft","Offen",684437.321,250975.522
"Thali House","Langstrasse",213,5,8005,"Zürich","0400/frei","Gastwirtschaft","Offen",682418.105,248607.321
"The Gate","Badenerstrasse ",125,4,8004,"Zürich","0400/Frei","Gastwirtschaft","Offen",681927.242,247603.887
"Theater 11","Thurgauerstrasse",7,11,8050,"Zürich","0400/frei","Gastwirtschaft","Offen",683850.296,251692.036
"Tinto","Langstrasse",20,4,8004,"Zürich","0400/Frei","Gastwirtschaft","Offen",682047.038,247718.969
"Tip Top","Seilergraben",13,1,8001,"Zürich","0400/frei","Gastwirtschaft","Offen",683673.04,247571.337
"Tres Amigos","Querstrasse",16,11,8050,"Zürich","0400/Frei","Gastwirtschaft","Offen",683451.355,251592.006
"Tschingg (EG)","Oberdorfstrasse",2,1,8001,"Zürich","0400/Frei","Gastwirtschaft","Offen",683637.704,246977.135
"Vallocaia","Niederdorfstrasse",15,1,8001,"Zürich","0400/frei","Gastwirtschaft","Offen",683450.443,247547.999
"Vapiano","Rämistrasse ",8,1,8001,"Zürich","0400/Frei","Gastwirtschaft","Offen",683651.017,246911.322
"Vis-à-Vis","Talstrasse",40,1,8001,"Zürich","0400/frei","Gastwirtschaft","Offen",682942.463,247153.29
"Volkshaus","Stauffacherstrasse",60,4,8004,"Zürich","0400/frei","Gastwirtschaft","Offen",682207.837,247757.725
"WM Stubä","Brauerstrasse",42,4,8004,"Zürich","0400/Frei","Gastwirtschaft","Offen",682198.234,248022.763
"WOW!","Förrlibuckstrasse",151,5,8005,"Zürich","0400/frei","Gastwirtschaft","Offen",680949.275,249569.839
"Wings Airline Bar & Lounge","Limmatquai",54,1,8001,"Zürich","0400/frei","Gastwirtschaft","Offen",683418.448,247327.049
"Wohnzimmerbar","Kalkbreitestrasse",10,4,8003,"Zürich","0400/Frei","Gastwirtschaft","Offen",681704.538,247591.899
"World Cafe & Bar","Sihlfeldstrasse",89,4,8004,"Zürich","0400/frei","Gastwirtschaft","Offen",681381.993,247853.177
"Wurst & Moritz","Hardstrasse",318,5,8005,"Zürich","0400/Frei","Gastwirtschaft","Offen",681824.242,249374.725
"X-TRA Limmathaus Säle","Limmatstrasse",118,5,8005,"Zürich","0400/frei","Gastwirtschaft","Offen",682606.037,248718.525
"X-Trend Polat","Langstrasse ",117,4,8004,"Zürich","0400/Frei","Gastwirtschaft","Offen",682207.654,248164.037
"Zeughaushof","Kanonengasse",20,4,8004,"Zürich","0400/frei","Gastwirtschaft","Offen",682443.902,248022.553
"Zini Bar","Zinistrasse",7,4,8004,"Zürich","0400/Frei","Gastwirtschaft","Offen",682121.02,248207.343
"Zucchero","Brauerstrasse",30,4,8004,"Zürich","0400/frei","Gastwirtschaft","Offen",682242.599,247988.385
"Zunfthaus zur Schmiden","Marktgasse",20,1,8001,"Zürich","0400/Frei","Gastwirtschaft","Offen",683479.395,247407.416
"Zunfthaus zur Zimmerleuten","Limmatquai",40,1,8001,"Zürich","0400/Frei","Gastwirtschaft","Offen",683441.231,247231.441
"Zur Nachtigall","Bäckerstrasse",30,4,8004,"Zürich","0400/frei","Gastwirtschaft","Offen",682385.681,247664.961
"Züri-Bistro","Badenerstrasse",343,3,8003,"Zürich","0400/Frei","Gastwirtschaft","Offen",680962.733,248006.63
"a la luna","Winterthurerstrasse",514,12,8051,"Zürich","0400/Frei","Gastwirtschaft","Offen",685551.548,250936.604
"sektor11","Siewerdtstrasse",73,11,8050,"Zürich","0400/frei","Gastwirtschaft","Offen",684219.748,251893.894
"Acanto","Pfingstweidstrasse",6,5,8005,"Zürich","0400/frei ","Gastwirtschaft","Offen",681549.957,249117.778
"Amazon Tropical","Kernstrasse ",57,4,8004,"Zürich","0400/frei ","Gastwirtschaft","Offen",682113.129,248042.451
"Bankok City","Mattengasse",11,5,8005,"Zürich","0400/frei ","Cabaret / Nachtclub","Offen",682422.882,248503.553
"Club Zukunft","Dienerstrasse",33,4,8004,"Zürich","0400/frei ","Gastwirtschaft","Offen",682230.232,248044.267
"Daniella's Bar","Ankerstrasse",116,4,8004,"Zürich","0400/frei ","Gastwirtschaft","Offen",682300.547,247859.531
"Ecke","Weststrasse",172,3,8003,"Zürich","0400/Frei ","Gastwirtschaft","Offen",681516.023,247604.686
"Haifisch Bar","Mühlegasse",3,1,8001,"Zürich","0400/frei ","Cabaret / Nachtclub","Offen",683435.463,247655.166
"Kabana Bar","Kanzleistrasse",231,4,8004,"Zürich","0400/frei ","Gastwirtschaft","Offen",681299.366,248110.899
"Kaiser Franz","Rolandstrasse",22,4,8004,"Zürich","0400/Frei ","Gastwirtschaft","Offen",682114.806,248202.013
"Mc Donald's","Neugasse",52,5,8005,"Zürich","0400/frei ","Gastwirtschaft","Offen",682399.509,248574.542
"Metropol","Börsenstrasse ",10,1,8001,"Zürich","0400/frei ","Gastwirtschaft","Offen",683297.864,246960.074
"Neu Punkt","Altstetterstrasse",147,9,8048,"Zürich","0400/frei ","Gastwirtschaft","Offen",679147.141,249085.29
"Vior","Löwenstrasse",2,1,8001,"Zürich","0400/frei ","Gastwirtschaft","Offen",682784.007,247490.574
"g27","Grubenstrasse ",27,3,8045,"Zürich","0400/frei ","Gastwirtschaft","Offen",681282.076,246174.652
"Food Center","Hohlstrasse ",561,9,8048,"Zürich","0400/Frei befr. bis 28.02.2015","Gastwirtschaft","Offen",679300.898,249392.473
"Blue Bar","Langstrasse",106,4,8004,"Zürich","0400/Frei befr. bis 30.09.2015","Gastwirtschaft","Offen",682238.904,248103.447
"Amboss Rampe AG","Zollstrasse",80,5,8005,"Zürich","0400/Frei befr. bis 31.03.2015","Gastwirtschaft","Offen",682529.008,248405.856
"Gainsbourg","Kreuzstrasse",26,8,8008,"Zürich","0400/frei befr. bis 31.03.2015","Gastwirtschaft","Offen",683895.125,246372.916
"Cranberry","Metzgergasse",3,1,8001,"Zürich","0400/Frei befr. bis 31.05.2015","Gastwirtschaft","Offen",683424.434,247400.775
"Cabaret Voltaire","Spiegelgasse",1,1,8001,"Zürich","0400/Frei befr. bis 31.10.15","Gastwirtschaft","Offen",683491.999,247345.498
"Mundwerk","Dörflistrasse ",76,11,8050,"Zürich","0400/Frei per 01.01.2015 Fr./Sa. Frei","Gastwirtschaft","Offen",683926.269,251493.931
"Dini Mueter","Langstrasse",10,4,8004,"Zürich","Fr./ Sa. Frei","Gastwirtschaft","Offen",682024.392,247668.665
"Aelpli Bar","Ankengasse",5,1,8001,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",683448.435,247313.808
"Arena Cinemas AG","Kalanderplatz ",8,3,8045,"Zürich","Fr./Sa. Frei","Nebenwirtschaft","Offen",681892.44,245856.917
"Bar Stadio","Seebahnstrasse",155,3,8003,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",681556.38,247673.412
"Boulevard","Albisriederstrasse ",16,3,8003,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",680809.013,248039.189
"Burger King ","Kalanderplatz ",3,3,8045,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",681907.275,245802.355
"Cafe Bar Wandab","Meinrad-Lienert-Strasse ",27,3,8003,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",681467.074,247702.797
"Cafe Bistro 3","Aemtlerstrasse",18,3,8003,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",681393.932,247291.89
"Cooper's Pub","Schaffhauserstrasse",359,11,8050,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",683600.118,251690.606
"D-Vino Weinbar","Limmatplatz",6,5,8005,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",682489.584,248782.155
"Dal Nastro","Sihlstrasse",55,1,8001,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",682728.31,247435.646
"Damas","Josefstrasse",151,5,8005,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",682219.724,248768.497
"Damm","Hönggerstrasse",3,10,8037,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",682219.023,249421.584
"Enge Bar","Seestrasse",7,2,8002,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",682580.621,246615.797
"Five Spice","Sihlfeldstrasse",81,4,8004,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",681395.437,247785.189
"Galactic Dance","Albulastrasse",47,9,8048,"Zürich","Fr./Sa. Frei","Nebenwirtschaft","Offen",679646.83,249106.591
"Gemeinschaftszentrum Heuried","Döltschiweg",130,3,8055,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",680453.03,246820.076
"HUUSMAA","Badenerstrasse",138,4,8004,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",681882.301,247635.577
"Habesha","Weststrasse",192,3,8003,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",681465.108,247662.316
"Hangover","Schaffhauserstrasse ",477,11,8052,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",683755.748,252769.195
"Henne","Schwamendingenstrasse",16,11,8050,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",683716.41,251335.951
"Hermetschloo","Hermetschloostrasse",70,9,8048,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",678210.051,249820.928
"Isebähnli","Froschaugasse",26,1,8001,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",683548.493,247514.929
"Kafibar A & M","Josefstrasse",130,5,8005,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",682315.446,248734.183
"Kantine im 5i","Neue Hard",10,5,8005,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",681704.853,248996.837
"Kibar","Hohlstrasse",561,9,8048,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",679300.898,249392.473
"Kronenhof","Wehntalerstrasse",551,11,8046,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",680492.758,252590.203
"La Penisola","Ankerstrasse ",38,4,8004,"Zürich","Fr./Sa. Frei","Kleinwirtschaft","Offen",682042.384,247572.073
"Laila Türkü Bar","Friesstrasse",16,11,8050,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",683636.413,252109.926
"Latin Palace","Militärstrasse",84,4,8004,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",682400.47,248123.401
"Le Chef Metas Restaurant","Kanonengasse",29,4,8004,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",682403.17,248031.765
"Loft Five ","Europaallee",15,4,8004,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",682704.059,248085.967
"Mai-Wok Take Away ","Birmensdorferstrasse",93,3,8003,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",681905.729,247224.332
"Max + Moritz","Hardturmstrasse",125,5,8005,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",681205.668,249608.864
"Mcgees Irish Pub","Schaffhauserstrasse",306,11,8050,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",683746.406,251258.471
"Morgarten","Morgartenstrasse",26,4,8004,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",682278.501,247306.302
"MumSabai","Tramstrasse",19,11,8050,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",683692.227,251529.668
"NEO","Europaallee",47,4,8004,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",682531.7,248142.737
"Nikos","Albisriederstrasse",181,9,8047,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",680025.735,247951.945
"Oepfelchammer","Rindermarkt",12,1,8001,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",683529.262,247420.995
"Piazza","Idaplatz",2,3,8003,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",681258.996,247565.53
"Planet 5","Sihlquai ",240,5,8005,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",682399.317,249109.228
"Plüsch","Aemtlerstrasse",16,3,8003,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",681402.276,247281.586
"R-Soul Food","Werdstrasse",66,4,8004,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",682228.622,247434.709
"Renaissance Zürich Tower Hotel","Turbinenstrasse",20,5,8005,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",681230.747,249138.174
"Rosaly's","Freieckgasse",7,1,8001,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",683633.031,246873.544
"SUBWAY","Stauffacherstrasse",101,4,8004,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",682058.609,247858.17
"Salotto","Hardturmstrasse",169,5,8005,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",680974.987,249735.054
"Sam's Pizza Land","Schweizergasse",6,1,8001,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",683059.333,247827.427
"San Marco","General-Wille-Strasse ",21,2,8002,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",682619.85,246424.337
"Segafredo","Hardstrasse ",210,5,8005,"Zürich","Fr./Sa. Frei","Kleinwirtschaft","Offen",681457.921,248850.523
"Siri","Dienerstrasse",75,4,8004,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",682055.306,248174.341
"Spaghetti Factory","Kruggasse",1,1,8001,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",683577.341,246972.851
"Sportbar Brazil","Köschenrütistrasse",6,11,8052,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",683010.701,253078.69
"Sternen Grill & Sternen Grill Restaurant","Theaterstrasse",22,1,8001,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",683610.248,246862.834
"Studer's","Hardstrasse",316,5,8005,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",681815.87,249362.791
"The Bite","Brauerstrasse",15,4,8004,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",682250.11,247953.323
"Times","Gasometerstrasse",7,5,8005,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",682292.534,248679.405
"Viadukt","Viaduktstrasse",69,5,8005,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",681812.436,248937.727
"fürDich","Stauffacherstrasse ",141,4,8004,"Zürich","Fr./Sa. Frei","Gastwirtschaft","Offen",681886.718,247939.987
"ARON Lounge Cafe","Rolandstrasse",9,4,8004,"Zürich","Fr./Sa. Frei ab 06.01.2015","Gastwirtschaft","Offen",682162.269,248139.509
"My Kebab Limmat","Kornhausbrücke",4,5,8005,"Zürich","Fr./Sa. Frei ab 06.01.2015","Kleinwirtschaft","Offen",682580.746,248798.113
"St. Joseph's Pub","Fabrikstrasse",23,5,8005,"Zürich","Fr./Sa. Frei befr. bis 28.02.2015","Gastwirtschaft","Offen",682257.572,248965.489
"Loft One","Erismannstrasse ",2,4,8004,"Zürich","Fr./Sa.frei","Gastwirtschaft","Offen",681611.429,248282.644
"Olive","Aemtlerstrasse ",13,3,8003,"Zürich","FR/SA 02.00","Gastwirtschaft","Offen",681389.62,247244.122
"Café Zähringer","Zähringerplatz",11,1,8001,"Zürich","Fr/Sa 0200 Uhr","Gastwirtschaft","Offen",683545.319,247552.608
"Kino Corso","Theaterstrasse",10,1,8001,"Zürich","Fr/Sa 0200 Uhr","Gastwirtschaft","Offen",683699.693,246761.458
"Kontiki & Züri-Bar","Niederdorfstrasse",24,1,8001,"Zürich","Fr/Sa 0200 Uhr","Gastwirtschaft","Offen",683467.536,247588.331
"Kino Metropol","Badenerstrasse",16,4,8004,"Zürich","Fr/Sa 0200 Uhr (nur bei Nocturn-Vorstellungen)","Gastwirtschaft","Offen",682474.795,247567.589
"Seminar Hotel Spirgarten","Lindenplatz",5,9,8048,"Zürich","Fr/Sa 0400 Uhr","Gastwirtschaft","Offen",679044.354,249035.279
"Belcafé","Bellevueplatz",5,1,8001,"Zürich","Fr/Sa frei","Gastwirtschaft","Offen",683544.696,246881.337
"Bellavista","Rämistrasse ",7,1,8001,"Zürich","FR/SA Frei","Gastwirtschaft","Offen",683636.925,246938.581
"Belvoirpark","Seestrasse",125,2,8002,"Zürich","Fr/Sa frei","Gastwirtschaft","Offen",682700.845,245785.161
"Billard Golden 8","Baumackerstrasse ",41,11,8050,"Zürich","FR/SA frei","Nebenwirtschaft","Offen",683351.811,251519.1
"Billiardino Zürich-West","Heinrichstrasse",245,5,8005,"Zürich","Fr/Sa frei","Gastwirtschaft","Offen",681821.303,249175.402
"Bonesklinic - Spelunke","Austrasse",19,3,8045,"Zürich","FR/SA frei","Gastwirtschaft","Offen",681684.067,246684.72
"Burger King","Hofwiesenstrasse",378,11,8050,"Zürich","Fr/Sa frei","Gastwirtschaft","Offen",683521.231,251766.335
"Canale Grande","Limmatquai",118,1,8001,"Zürich","Fr/Sa frei","Gastwirtschaft","Offen",683451.02,247762.334
"Casa del Tango","Bullingerstrasse",71,4,8004,"Zürich","FR/SA Frei","Nebenwirtschaft","Offen",680891.418,248351.777
"Cucina","Luisenstrasse",40,5,8005,"Zürich","Fr/Sa frei","Gastwirtschaft","Offen",682435.808,248719.353
"Daniel H. Bar","Müllerstrasse",51,4,8004,"Zürich","Fr/Sa frei","Gastwirtschaft","Offen",682366.598,247746.969
"Devis Pearl Bar","Birmensdorferstrasse",83,3,8003,"Zürich","Fr/Sa Frei","Gastwirtschaft","Offen",681967.988,247227.259
"Edi's Weinstube","Stüssihofstatt ",14,1,8001,"Zürich","Fr/Sa frei","Gastwirtschaft","Offen",683444.165,247417.462
"Gloria","Josefstrasse",59,5,8005,"Zürich","FR/SA frei","Gastwirtschaft","Offen",682551.514,248492.297
"Hot Pasta AG Ristorante Bar","Militärstrasse",76,4,8004,"Zürich","FR/SA frei","Gastwirtschaft","Offen",682434.261,248100.057
"Körry","Langstrasse",238,5,8005,"Zürich","FR/SA frei","Kleinwirtschaft","Offen",682493.472,248695.89
"La Baracca","Kanzleistrasse",103,4,8004,"Zürich","Fr/Sa frei","Gastwirtschaft","Offen",681835.439,247824.945
"La Contrada","Heinrichstrasse",83,5,8005,"Zürich","Fr/Sa frei","Gastwirtschaft","Offen",682371.914,248795.743
"Letzi","Hohlstrasse",424,9,8048,"Zürich","Fr/Sa frei","Gastwirtschaft","Offen",680163.887,249074.724
"Lindentreff","Badenerstrasse ",682,9,8048,"Zürich","Fr/Sa frei","Gastwirtschaft","Offen",679024.042,249121.327
"Metro Bar Bistro","Hohlstrasse ",450,9,8048,"Zürich","Fr/Sa frei","Gastwirtschaft","Offen",679880.952,249194.271
"Männerzone","Kernstrasse ",57,4,8004,"Zürich","Fr/Sa frei","Gastwirtschaft","Offen",682113.129,248042.451
"Nan Take Away ","Winterthurerstrasse","692a",12,8051,"Zürich","Fr/Sa frei","Gastwirtschaft","Offen",686446.86,251246.436
"Piccolo Giardino","Schöneggplatz",9,4,8004,"Zürich","FR/SA frei","Gastwirtschaft","Offen",682091.354,248345.117
"Reithalle","Gessnerallee",8,1,8001,"Zürich","Fr/Sa Frei","Gastwirtschaft","Offen",682772.867,247681.67
"Rössli Bar","Rössligasse",7,1,8001,"Zürich","Fr/Sa frei","Gastwirtschaft","Offen",683523.619,247084.392
"Starbucks Coffee","Limmatquai",4,1,8001,"Zürich","Fr/Sa frei","Gastwirtschaft","Offen",683563.126,246939.554
"Taverna Kalymnos","Motorenstrasse",25,5,8005,"Zürich","Fr/Sa frei","Gastwirtschaft","Offen",682305.642,248742.619
"Thai Food Corner","Brauerstrasse",3,4,8004,"Zürich","Fr/Sa frei","Gastwirtschaft","Offen",682294.801,247920.241
"BP Service Wiedikon","Seebahnstrasse",110,3,8036,"Zürich","frei","Tankstelle","Offen",681737.298,247473.481
"Socar","Hohlstrasse ",544,9,8048,"Zürich","frei","Tankstelle","Offen",679467.417,249377.368
"Socar Triemli","Birmensdorferstrasse",484,3,8055,"Zürich","frei","Tankstelle","Offen",679910.349,246951.911
"Favorit","Konradstrasse",49,5,8005,"Zürich","FR-SA frei","Gastwirtschaft","Offen",682773.636,248385.942
"Au premier","Bahnhofplatz ",15,1,8001,"Zürich","Öffnungszeit gemäss Bundesgesetz","Gastwirtschaft","Offen",683182.716,247978.398
"Blueberry","Bahnhofplatz ",15,1,8001,"Zürich","Öffnungszeit gemäss Bundesgesetz","Gastwirtschaft","Offen",683182.716,247978.398
"Bona Dea","Bahnhofplatz ",15,1,8001,"Zürich","Öffnungszeit gemäss Bundesgesetz","Gastwirtschaft","Offen",683182.716,247978.398
"Brasserie Fédéral","Bahnhofplatz ",15,1,8001,"Zürich","Öffnungszeit gemäss Bundesgesetz","Gastwirtschaft","Offen",683182.716,247978.398
"Buffet Express","Bahnhofplatz",15,1,8001,"Zürich","Öffnungszeit gemäss Bundesgesetz","Ausgabestelle","Offen",683182.716,247978.398
"Burger King","Bahnhofplatz",15,1,8001,"Zürich","Öffnungszeit gemäss Bundesgesetz","Gastwirtschaft","Offen",683182.716,247978.398
"Burger King (1UG)","Bahnhofplatz",15,1,8001,"Zürich","Öffnungszeit gemäss Bundesgesetz","Gastwirtschaft","Offen",683201,248042
"Da Capo","Bahnhofplatz ",15,1,8001,"Zürich","Öffnungszeit gemäss Bundesgesetz","Gastwirtschaft","Offen",683182.716,247978.398
"Il Baretto","Bahnhofplatz ",15,1,8001,"Zürich","Öffnungszeit gemäss Bundesgesetz","Gastwirtschaft","Offen",683182.716,247978.398
"Imagine","Bahnhofplatz",15,1,8001,"Zürich","Öffnungszeit gemäss Bundesgesetz","Gastwirtschaft","Offen",683182.716,247978.398
"Le Café","Bahnhofplatz ",15,1,8001,"Zürich","Öffnungszeit gemäss Bundesgesetz","Gastwirtschaft","Offen",683182.716,247978.398
"Nordsee","Bahnhofplatz ",15,1,8001,"Zürich","Öffnungszeit gemäss Bundesgesetz","Ausgabestelle","Offen",683182.716,247978.398
"Rapido","Bahnhofplatz ",15,1,8001,"Zürich","Öffnungszeit gemäss Bundesgesetz","Ausgabestelle","Offen",683182.716,247978.398
"Scent of Bamboo","Bahnhofpassage ","Löwenstrasse",1,8001,"Zürich","Öffnungszeit gemäss Bundesgesetz","Gastwirtschaft","Offen",683179,247945
"Snack Bar","Bahnhofplatz ",15,1,8001,"Zürich","Öffnungszeit gemäss Bundesgesetz","Ausgabestelle","Offen",683182.716,247978.398
"Suan Long","Bahnhofpassage ","Shopville",1,8001,"Zürich","Öffnungszeit gemäss Bundesgesetz","Gastwirtschaft","Offen",683197,248067
"Züri-Bistro","Bahnhofpassage ","Shop Ville",1,8001,"Zürich","Öffnungszeit gemäss Bundesgesetz","Gastwirtschaft","Offen",683228,247962
"Atrio","Bahnhofplatz ",15,1,8001,"Zürich","Öffnungzseit gemäss Bundesgesetz","Gastwirtschaft","Offen",683182.716,247978.398
"2. Akt Take Away","Selnaustrasse",6,1,8002,"Zürich","So-Do bis 4:00, Fr und Sa bis 5:00","Gastwirtschaft","Offen",682685.124,247148.19
"Westend","Förrlibuckstrasse",180,5,8005,"Zürich","So-Mi 0200/Do-Sa 0400 Uhr","Gastwirtschaft","Offen",680926.845,249611.417
"Brasserie Lipp","Uraniastrasse",9,1,8001,"Zürich","tägl. 0200","Gastwirtschaft","Offen",683132.782,247639.994
"Blue Monkey","Stüssihofstatt",3,1,8001,"Zürich","tägl. 0200 Uhr","Gastwirtschaft","Offen",683427.14,247449.716
"Si o No","Ankerstrasse",6,4,8004,"Zürich","tägl. 0200 Uhr","Gastwirtschaft","Offen",681973.72,247428.348
"Sam's Pizza Land","Dreikönigstrasse",21,2,8002,"Zürich","tägl. 0400","Gastwirtschaft","Offen",682936.926,246811.209
"Favorit","Badenerstrasse",256,4,8004,"Zürich","tägl. 0400 Uhr","Gastwirtschaft","Offen",681332.058,247812.077
