"Betriebsname","Strasse","Nr.","Kreis","PLZ","Ort","Oeffnungszeit","Betriebsart","Status","X","Y"
"Biergarten","Hohlstrasse",25,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",682208.774,247913.093
"Biondi","Rolandstrasse",23,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",682102.206,248185.051
"Blok","Schiffbaustrasse",3,5,8005,"Zürich","0200/frei","Gastwirtschaft","Offen",681565.457,249187.438
"Bohemia","Klosbachstrasse",2,7,8032,"Zürich","0200/frei","Gastwirtschaft","Offen",684324.208,246596.547
"Brasserie Schiller & Goethe Bar","Sechseläutenplatz",10,1,8001,"Zürich","0200/Frei","Gastwirtschaft","Offen",683742.464,246657.988
"Bärengasse","Bärengasse",5,1,8001,"Zürich","0200/frei","Gastwirtschaft","Offen",683054.685,247190.568
"Café Kränzlin","Schützengasse",16,1,8001,"Zürich","0200/Frei","Gastwirtschaft","Offen",683106.432,247894.621
"Café e piu","Ohmstrasse ",14,11,8050,"Zürich","0200/frei","Gastwirtschaft","Offen",683569.475,251752.929
"Caravelle","Stauffacherstrasse",147,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",681856.28,247954.681
"Casablanca","Langstrasse",62,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",682127.557,247891.204
"Central","Ankerstrasse",65,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",682103.55,247692.233
"Corazon","Zähringerplatz",11,1,8001,"Zürich","0200/frei","Gastwirtschaft","Offen",683545.319,247552.608
"Courtyard by Marriott Zürich Nord","Max-Bill-Platz ",19,11,8050,"Zürich","0200/frei","Gastwirtschaft","Offen",683197.694,252085.206
"Coyote Bar","Militärstrasse",91,4,8004,"Zürich","0200/Frei","Gastwirtschaft","Offen",682353.078,248123.073
"Delphino","Stauffacherstrasse ",98,4,8004,"Zürich","0200/frei","Kleinwirtschaft","Offen",682089.722,247881.601
"Depot Bar","Elisabethenstrasse",28,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",681811.24,247548.383
"Die Bar","Neugasse",58,5,8005,"Zürich","0200/Frei","Gastwirtschaft","Offen",682360.974,248580.245
"Die Giesserei","Birchstrasse",108,11,8050,"Zürich","0200/frei","Gastwirtschaft","Offen",682945.907,251432.653
"Drinxbar","Dufourstrasse",24,8,8008,"Zürich","0200/frei","Gastwirtschaft","Offen",683763.933,246466.896
"Dublin City","Dienerstrasse",28,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",682250.281,248056.565
"EGE Import/Export","Josefstrasse",53,5,8005,"Zürich","0200/frei","Gastwirtschaft","Offen",682584.652,248459.884
"El Luchador","Konradstrasse",69,5,8005,"Zürich","0200/frei","Gastwirtschaft","Offen",682689.833,248455.115
"Eldorado","Limmatstrasse",109,5,8005,"Zürich","0200/frei","Gastwirtschaft","Offen",682606.738,248668.65
"Four Points Hotel by Sheraton","Kalandergasse ",1,3,8045,"Zürich","0200/frei","Gastwirtschaft","Offen",681931.841,245935.833
"Helsinki","Geroldstrasse ",35,5,8005,"Zürich","0200/frei","Gastwirtschaft","Offen",681521.687,248907.061
"Hirschen","Brauerstrasse",80,4,8004,"Zürich","0200/frei","Gastwirtschaft","Offen",681999.652,248172.373
"Holiday Inn Zürich Messe","Wallisellenstrasse",48,11,8050,"Zürich","0200/Frei","Gastwirtschaft","Offen",684101.161,251675.495
"Inferno","Konradstrasse ",71,5,8005,"Zürich","0200/Frei","Gastwirtschaft","Offen",682668.197,248472.752
"Josef","Gasometerstrasse",24,5,8005,"Zürich","0200/frei","Gastwirtschaft","Offen",682332.442,248688.465
